priority,company,region,named_target,target_title,email,website,target_segment,contact_priority,offer_angle,notes_pain_points,approved_for_outreach,source_query,source_platform,source_date,delivery_status,blocked
High,OpenLoop Health,US,Chris Aker,Chief Commercial Officer,,https://www.openloophealth.com/careers,RevOps / Healthcare SaaS,High,Bridge support for HubSpot/Salesforce cleanup while internal systems hire is open,"Director of Revenue Systems & AI signal: GTM systems, HubSpot, Salesforce, automation, and RevOps support.",No,"Director Revenue Systems AI HubSpot Salesforce OpenLoop",Public web,2026-06-29,Verify LinkedIn/email,No
High,MuniBilling,US,Larry Foster,President,,https://revpath.dealhub.io/jobs/502805538-revenue-operations-specialist,RevOps / Utility SaaS,High,CRM hygiene and reporting cleanup for utility billing SaaS,"Recent RevOps Specialist role references CRM admin, data quality, workflow maintenance, Salesforce/HubSpot, dashboards, pipeline visibility, and reducing manual work.",No,"MuniBilling Revenue Operations Specialist Salesforce HubSpot data quality",Public web,2026-06-29,Verify LinkedIn/email,No
High,Prophix,Canada / US,Nick Slater,Chief Revenue Officer,,https://apply.workable.com/prophix/j/B0073BCA96,RevOps / B2B SaaS,High,Revenue systems support and Salesforce/CRM configuration cleanup,"Senior Revenue Operations Systems Analyst role references optimizing and scaling revenue tech stack and data infrastructure; leadership page lists Nick Slater as CRO.",No,"Prophix Senior Revenue Operations Systems Analyst Salesforce CRM",Public web,2026-06-29,Verify LinkedIn/email,No
High,ChargeLab,Canada / US,Ariel Maidansky,Head of Growth,,https://jobsatventurestudios.com/discover/companies/chargelab/jobs/62445607-revenue-operations-specialist,RevOps / EV SaaS,High,Growth and RevOps cleanup around CRM data integrity and acquisition reporting,"Revenue Operations Specialist role references CRM management, data integrity, cross-functional alignment, acquisition, and revenue performance.",No,"ChargeLab Revenue Operations Specialist CRM data integrity Head of Growth",Public web,2026-06-29,Verify LinkedIn/email,No
High,Leadership Connect,US,Michael Crosby,CEO,,https://www.himalayas.app/companies/leadership-connect/jobs/marketing-operations-manager,Marketing Ops / Data SaaS,High,HubSpot/Salesforce campaign-to-CRM cleanup and reporting support,"Marketing Operations Manager role references HubSpot/Salesforce, automation, campaign operations, reporting, and CRM hygiene.",No,"Leadership Connect Marketing Operations Manager HubSpot Salesforce CRM hygiene",Public web,2026-06-29,Verify LinkedIn/email,No
High,FMG,US,Matt Newman,Chief Revenue Officer,,https://www.fmgsuite.com/company/careers/,RevOps / Marketing SaaS,High,RevOps technical cleanup and sales/marketing handoff workflow support,"RevOps Technical Specialist role appears in FMG careers; leadership update shows new CRO brought in to accelerate growth.",No,"FMG RevOps Technical Specialist Chief Revenue Officer",Public web,2026-06-29,Verify LinkedIn/email,No
High,ContactMonkey,Canada,Daniel Marcus,VP Revenue Operations,,https://www.contactmonkey.com/careers,RevOps / B2B SaaS,High,Technical support for revenue systems automation and CRM workflow cleanup,"GTM Engineer role references revenue systems, integrations, automations, and reporting support around RevOps.",No,"ContactMonkey GTM Engineer VP Revenue Operations integrations automation",Public web,2026-06-29,Verify LinkedIn/email,No
High,Lee Enterprises,US,Research CRO / VP Revenue Ops,Revenue / CRM leader,,https://www.linkedin.com/jobs/view/crm-revenue-operations-specialist-at-lee-enterprises-4418260481,HubSpot CRM / Media,High,HubSpot CRM cleanup and workflow automation support for media sales operations,"CRM & Revenue Operations Specialist role explicitly references HubSpot CRM administration, workflow automation, data management, reporting, and process improvement.",No,"Lee Enterprises CRM Revenue Operations Specialist HubSpot workflow automation",Public web,2026-06-29,Need named leader,No
High,BigID,US,Research CRO / RevOps leader,GTM leader,,https://www.welcometothejungle.com/en/companies/bigid/jobs/head-of-revenue-operations_us_vkuvhka4,RevOps / Cybersecurity SaaS,High,Interim RevOps systems audit or overflow support for new Head of RevOps ramp,"Head of Revenue Operations role references operating rhythm, GTM analytics, systems, forecasting, pipeline generation, seller productivity, and scalable infrastructure.",No,"BigID Head of Revenue Operations GTM systems forecasting pipeline generation",Public web,2026-06-29,Need named leader,No
High,Popl,US,Research CRO,CRO / GTM leader,,https://jobs.ashbyhq.com/popl/4dadad49-b338-4863-9ae4-178de480681d,RevOps / B2B SaaS,High,RevOps cleanup support before or while hiring Head of RevOps,"Head of Revenue Operations role reports to CRO and sits at the intersection of systems, data, and go-to-market execution.",No,"Popl Head of Revenue Operations systems data go-to-market CRO",Public web,2026-06-29,Need named leader,No
High,Stord,US,Research CFO / RevOps leader,Finance / RevOps leader,,https://stord.wd503.myworkdayjobs.com/en-US/Stord_External_Career/job/Head-of-Billing---Revenue-Operations_JR102594-2,Revenue Ops / Logistics SaaS,High,Quote-to-cash and revenue ops reporting workflow cleanup,"Head of Billing & Revenue Operations role references revenue insights, risk, trends, margin impact, finance leadership, and executive stakeholders.",No,"Stord Head of Billing Revenue Operations finance leadership revenue insights",Public web,2026-06-29,Need named leader,No
Medium-High,Constant Contact,US,Research VP RevOps / Sales Ops,RevOps leader,,https://www.builtinboston.com/job/revenue-operations-specialist/9230282,Salesforce / Marketing SaaS,Medium,Salesforce data integrity and RevOps reporting cleanup,"Revenue Operations Specialist role references Salesforce configuration, data integrity, cross-functional collaboration, and performance analysis.",No,"Constant Contact Revenue Operations Specialist Salesforce data integrity",Public web,2026-06-29,Need named leader,No
Medium-High,WorkFlex,EU / US Remote,Research CRO / RevOps leader,Revenue leader,,https://careers.workflex.com/jobs/7067119-revenue-operations-specialist-hubspot,HubSpot RevOps,Medium,HubSpot workflow cleanup and revenue reporting support,"Revenue Operations Specialist role references HubSpot, clean data, reliable processes, Sales/CS tooling, leadership insights, and strategy.",No,"WorkFlex Revenue Operations Specialist HubSpot clean data reliable processes",Public web,2026-06-29,Need named leader,No
Medium-High,Urrly client,US Remote,Research once company disclosed,Revenue / ops leader,,https://urrly.breezy.hr/p/986a9bcd5e27-hubspot-revenue-operations-specialist-remote,HubSpot RevOps,Medium,Only pursue if company name becomes available,"Anonymous HubSpot Revenue & Operations Specialist role references Enterprise HubSpot, workflows, lead scoring, lifecycle automation, lead routing, assignment rules, dashboards, funnel metrics, and data accuracy.",No,"Urrly HubSpot Revenue Operations Specialist lead routing lifecycle automation",Public web,2026-06-29,Hold until company known,No
Medium-High,Financeit,Canada,Research Director Data Solutions / RevOps,Data / RevOps leader,,https://www.financeit.io/careers/,RevOps / Fintech,Medium,CRM/Pardot data hygiene and revenue reporting cleanup,"Revenue Operations Lead signal references CRM tools, data hygiene, business process, Salesforce/Pardot and data solutions.",No,"Financeit Revenue Operations Lead Salesforce Pardot data hygiene",Public web,2026-06-29,Need named leader,No
Medium-High,Common Wealth,Canada,Research revenue/ops leader,Revenue ops leader,,https://revpath.dealhub.io/,RevOps / Fintech,Medium,Revenue workflow documentation and CRM operating process support,"Manager Revenue Operations signal references revenue workflows, processes, CRM, sales operations, and reporting.",No,"Common Wealth Manager Revenue Operations CRM sales operations reporting",Public web,2026-06-29,Need named leader,No
Medium,Enhanced Medical Nutrition,Canada / US,Research commercial leader,Commercial / RevOps leader,,https://www.enhancedmedicalnutrition.com/,Healthcare / RevOps,Medium,CRM pipeline visibility and process cleanup for healthcare sales motion,"Revenue Operations Specialist signal references revenue process, CRM, data, and workflow support in a healthcare/nutrition business.",No,"Enhanced Medical Nutrition Revenue Operations Specialist CRM workflow",Public web,2026-06-29,Need named leader,No
Medium,Compass Digital,Canada,Research RevOps systems leader,Systems / revenue ops leader,,https://www.compassdigital.io/careers/,RevOps / Digital,Medium,Salesforce admin support and revenue systems cleanup,"Senior Revenue Operations Systems Analyst signal appears around Salesforce/CRM systems and revenue tech support.",No,"Compass Digital Senior Revenue Operations Systems Analyst Salesforce CRM",Public web,2026-06-29,Need named leader,No
Medium,Nomad,Canada,Research RevOps / sales leader,Revenue / ops leader,,https://www.nomad.com/careers,RevOps / Travel Tech,Medium,CRM hygiene sales handoff and RevOps documentation,"Revenue Operations Specialist Toronto signal suggests active CRM/process operations need.",No,"Nomad Toronto Revenue Operations Specialist CRM",Public web,2026-06-29,Need named leader,No
Medium,Greater Edmonton Taxi Service,Canada,Research GM / ops leader,Operations leader,,https://www.edmtaxi.com/,Operations / Local Services,Medium,CRM/intake routing for account booking and customer workflows,"RevOps-style HubSpot/CRM support signal needs validation; business likely has multi-channel booking and account workflows.",No,"Greater Edmonton Taxi Service revenue operations HubSpot CRM",Public web,2026-06-29,Validate source before outreach,No
Medium,Informed K12,US,Research revenue/ops leader,RevOps / GTM leader,,https://www.informedk12.com/,Education SaaS,Medium,Salesforce/HubSpot cleanup around districts forms and lifecycle tracking,"Public job/search signals show RevOps systems and CRM support need in education SaaS.",No,"Informed K12 Revenue Operations CRM Salesforce HubSpot",Public web,2026-06-29,Validate source before outreach,No
Medium,Cobalt,Canada,Research revenue systems leader,RevOps / ops leader,,Existing outreach batch,Property Management,Medium,Improve existing draft formatting before any send,"Already identified with owner, tenant, and vendor paths with portals; current draft looked visually squeezed and needs formatting cleanup.",No,"Cobalt property management owner tenant vendor portal routing",Internal research,2026-06-29,Draft exists; review formatting,No
